"Assembly","HelpFile","Target","Severity","ProblemId","Description","Remediation"
"Microsoft.Azure.Commands.ResourceManager.Automation.dll","Microsoft.Azure.Commands.ResourceManager.Automation.dll-help.xml","Microsoft.Azure.Commands.Automation.Cmdlet.GetAzureAutomationJobOutputRecord","1","6050","Help missing for cmdlet Get-AzureRmAutomationJobOutputRecord implemented by class Microsoft.Azure.Commands.Automation.Cmdlet.GetAzureAutomationJobOutputRecord","Add Help record for cmdlet Get-AzureRmAutomationJobOutputRecord to help file."
"Microsoft.Azure.Commands.ResourceManager.Automation.dll","Microsoft.Azure.Commands.ResourceManager.Automation.dll-help.xml","Microsoft.Azure.Commands.Automation.Cmdlet.RemoveAzureAutomationDscNodeConfiguration","1","6050","Help missing for cmdlet Remove-AzureRmAutomationDscNodeConfiguration implemented by class Microsoft.Azure.Commands.Automation.Cmdlet.RemoveAzureAutomationDscNodeConfiguration","Add Help record for cmdlet Remove-AzureRmAutomationDscNodeConfiguration to help file."
"Microsoft.Azure.Commands.ResourceManager.Automation.dll","Microsoft.Azure.Commands.ResourceManager.Automation.dll-help.xml","Microsoft.Azure.Commands.Automation.Cmdlet.RemoveAzureAutomationDscConfiguration","1","6050","Help missing for cmdlet Remove-AzureRmAutomationDscConfiguration implemented by class Microsoft.Azure.Commands.Automation.Cmdlet.RemoveAzureAutomationDscConfiguration","Add Help record for cmdlet Remove-AzureRmAutomationDscConfiguration to help file."
"Microsoft.AzureStack.Commands.StorageAdmin.dll","Microsoft.AzureStack.Commands.StorageAdmin.dll-Help.xml","Microsoft.AzureStack.Commands.StorageAdmin.GetEvent","1","6050","Help missing for cmdlet Get-ACSEvent implemented by class Microsoft.AzureStack.Commands.StorageAdmin.GetEvent","Add Help record for cmdlet Get-ACSEvent to help file."
"Microsoft.Azure.Commands.Compute.dll","Microsoft.Azure.Commands.Compute.dll-Help.xml","Microsoft.Azure.Commands.Compute.GetAzureRmVMAEMExtension","1","6050","Help missing for cmdlet Get-AzureRmVMAEMExtension implemented by class Microsoft.Azure.Commands.Compute.GetAzureRmVMAEMExtension","Add Help record for cmdlet Get-AzureRmVMAEMExtension to help file."
"Microsoft.Azure.Commands.Compute.dll","Microsoft.Azure.Commands.Compute.dll-Help.xml","Microsoft.Azure.Commands.Compute.RemoveAzureRmVMAEMExtension","1","6050","Help missing for cmdlet Remove-AzureRmVMAEMExtension implemented by class Microsoft.Azure.Commands.Compute.RemoveAzureRmVMAEMExtension","Add Help record for cmdlet Remove-AzureRmVMAEMExtension to help file."
"Microsoft.Azure.Commands.Compute.dll","Microsoft.Azure.Commands.Compute.dll-Help.xml","Microsoft.Azure.Commands.Compute.SetAzureRmVMAEMExtension","1","6050","Help missing for cmdlet Set-AzureRmVMAEMExtension implemented by class Microsoft.Azure.Commands.Compute.SetAzureRmVMAEMExtension","Add Help record for cmdlet Set-AzureRmVMAEMExtension to help file."
"Microsoft.Azure.Commands.Compute.dll","Microsoft.Azure.Commands.Compute.dll-Help.xml","Microsoft.Azure.Commands.Compute.TestAzureRmVMAEMExtension","1","6050","Help missing for cmdlet Test-AzureRmVMAEMExtension implemented by class Microsoft.Azure.Commands.Compute.TestAzureRmVMAEMExtension","Add Help record for cmdlet Test-AzureRmVMAEMExtension to help file."
"Microsoft.Azure.Commands.Compute.dll","Microsoft.Azure.Commands.Compute.dll-Help.xml","Microsoft.Azure.Commands.Compute.SetAzureVMBGInfoExtensionCommand","1","6050","Help missing for cmdlet Set-AzureRmVMBginfoExtension implemented by class Microsoft.Azure.Commands.Compute.SetAzureVMBGInfoExtensionCommand","Add Help record for cmdlet Set-AzureRmVMBginfoExtension to help file."
"Microsoft.Azure.Commands.Compute.dll","Microsoft.Azure.Commands.Compute.dll-Help.xml","Microsoft.Azure.Commands.Compute.SetAzureVMPlanCommand","1","6050","Help missing for cmdlet Set-AzureRmVMPlan implemented by class Microsoft.Azure.Commands.Compute.SetAzureVMPlanCommand","Add Help record for cmdlet Set-AzureRmVMPlan to help file."
"Microsoft.Azure.Commands.Management.Storage.dll","Microsoft.Azure.Commands.Management.Storage.dll-Help.xml","Microsoft.Azure.Commands.Management.Storage.SetAzureRmCurrentStorageAccount","1","6050","Help missing for cmdlet Set-AzureRmCurrentStorageAccount implemented by class Microsoft.Azure.Commands.Management.Storage.SetAzureRmCurrentStorageAccount","Add Help record for cmdlet Set-AzureRmCurrentStorageAccount to help file."
"Microsoft.Azure.Commands.Network.dll","Microsoft.Azure.Commands.Network.dll-Help.xml","Microsoft.Azure.Commands.Network.NewAzureApplicationGatewayPathRuleConfigCommand","1","6050","Help missing for cmdlet New-AzureRmApplicationGatewayPathRuleConfig implemented by class Microsoft.Azure.Commands.Network.NewAzureApplicationGatewayPathRuleConfigCommand","Add Help record for cmdlet New-AzureRmApplicationGatewayPathRuleConfig to help file."
"Microsoft.Azure.Commands.Network.dll","Microsoft.Azure.Commands.Network.dll-Help.xml","Microsoft.Azure.Commands.Network.AddAzureApplicationGatewayProbeConfigCommand","1","6050","Help missing for cmdlet Add-AzureRmApplicationGatewayProbeConfig implemented by class Microsoft.Azure.Commands.Network.AddAzureApplicationGatewayProbeConfigCommand","Add Help record for cmdlet Add-AzureRmApplicationGatewayProbeConfig to help file."
"Microsoft.Azure.Commands.Network.dll","Microsoft.Azure.Commands.Network.dll-Help.xml","Microsoft.Azure.Commands.Network.GetAzureApplicationGatewayProbeConfigCommand","1","6050","Help missing for cmdlet Get-AzureRmApplicationGatewayProbeConfig implemented by class Microsoft.Azure.Commands.Network.GetAzureApplicationGatewayProbeConfigCommand","Add Help record for cmdlet Get-AzureRmApplicationGatewayProbeConfig to help file."
"Microsoft.Azure.Commands.Network.dll","Microsoft.Azure.Commands.Network.dll-Help.xml","Microsoft.Azure.Commands.Network.NewAzureApplicationGatewayProbeConfigCommand","1","6050","Help missing for cmdlet New-AzureRmApplicationGatewayProbeConfig implemented by class Microsoft.Azure.Commands.Network.NewAzureApplicationGatewayProbeConfigCommand","Add Help record for cmdlet New-AzureRmApplicationGatewayProbeConfig to help file."
"Microsoft.Azure.Commands.Network.dll","Microsoft.Azure.Commands.Network.dll-Help.xml","Microsoft.Azure.Commands.Network.RemoveAzureApplicationGatewayProbeConfigCommand","1","6050","Help missing for cmdlet Remove-AzureRmApplicationGatewayProbeConfig implemented by class Microsoft.Azure.Commands.Network.RemoveAzureApplicationGatewayProbeConfigCommand","Add Help record for cmdlet Remove-AzureRmApplicationGatewayProbeConfig to help file."
"Microsoft.Azure.Commands.Network.dll","Microsoft.Azure.Commands.Network.dll-Help.xml","Microsoft.Azure.Commands.Network.SetAzureApplicationGatewayProbeConfigCommand","1","6050","Help missing for cmdlet Set-AzureRmApplicationGatewayProbeConfig implemented by class Microsoft.Azure.Commands.Network.SetAzureApplicationGatewayProbeConfigCommand","Add Help record for cmdlet Set-AzureRmApplicationGatewayProbeConfig to help file."
"Microsoft.Azure.Commands.Network.dll","Microsoft.Azure.Commands.Network.dll-Help.xml","Microsoft.Azure.Commands.Network.AddAzureApplicationGatewayUrlPathMapConfigCommand","1","6050","Help missing for cmdlet Add-AzureRmApplicationGatewayUrlPathMapConfig implemented by class Microsoft.Azure.Commands.Network.AddAzureApplicationGatewayUrlPathMapConfigCommand","Add Help record for cmdlet Add-AzureRmApplicationGatewayUrlPathMapConfig to help file."
"Microsoft.Azure.Commands.Network.dll","Microsoft.Azure.Commands.Network.dll-Help.xml","Microsoft.Azure.Commands.Network.GetAzureApplicationGatewayUrlPathMapConfigCommand","1","6050","Help missing for cmdlet Get-AzureRmApplicationGatewayUrlPathMapConfig implemented by class Microsoft.Azure.Commands.Network.GetAzureApplicationGatewayUrlPathMapConfigCommand","Add Help record for cmdlet Get-AzureRmApplicationGatewayUrlPathMapConfig to help file."
"Microsoft.Azure.Commands.Network.dll","Microsoft.Azure.Commands.Network.dll-Help.xml","Microsoft.Azure.Commands.Network.NewAzureApplicationGatewayUrlPathMapConfigCommand","1","6050","Help missing for cmdlet New-AzureRmApplicationGatewayUrlPathMapConfig implemented by class Microsoft.Azure.Commands.Network.NewAzureApplicationGatewayUrlPathMapConfigCommand","Add Help record for cmdlet New-AzureRmApplicationGatewayUrlPathMapConfig to help file."
"Microsoft.Azure.Commands.Network.dll","Microsoft.Azure.Commands.Network.dll-Help.xml","Microsoft.Azure.Commands.Network.RemoveAzureApplicationGatewayUrlPathMapConfigCommand","1","6050","Help missing for cmdlet Remove-AzureRmApplicationGatewayUrlPathMapConfig implemented by class Microsoft.Azure.Commands.Network.RemoveAzureApplicationGatewayUrlPathMapConfigCommand","Add Help record for cmdlet Remove-AzureRmApplicationGatewayUrlPathMapConfig to help file."
"Microsoft.Azure.Commands.Network.dll","Microsoft.Azure.Commands.Network.dll-Help.xml","Microsoft.Azure.Commands.Network.SetAzureApplicationGatewayUrlPathMapConfigCommand","1","6050","Help missing for cmdlet Set-AzureRmApplicationGatewayUrlPathMapConfig implemented by class Microsoft.Azure.Commands.Network.SetAzureApplicationGatewayUrlPathMapConfigCommand","Add Help record for cmdlet Set-AzureRmApplicationGatewayUrlPathMapConfig to help file."
"Microsoft.Azure.Commands.Network.dll","Microsoft.Azure.Commands.Network.dll-Help.xml","Microsoft.Azure.Commands.Network.AddAzureExpressRouteCircuitAuthorizationCommand","1","6050","Help missing for cmdlet Add-AzureRmExpressRouteCircuitAuthorization implemented by class Microsoft.Azure.Commands.Network.AddAzureExpressRouteCircuitAuthorizationCommand","Add Help record for cmdlet Add-AzureRmExpressRouteCircuitAuthorization to help file."
"Microsoft.Azure.Commands.Network.dll","Microsoft.Azure.Commands.Network.dll-Help.xml","Microsoft.Azure.Commands.Network.GetAzureExpressRouteCircuitAuthorizationCommand","1","6050","Help missing for cmdlet Get-AzureRmExpressRouteCircuitAuthorization implemented by class Microsoft.Azure.Commands.Network.GetAzureExpressRouteCircuitAuthorizationCommand","Add Help record for cmdlet Get-AzureRmExpressRouteCircuitAuthorization to help file."
"Microsoft.Azure.Commands.Network.dll","Microsoft.Azure.Commands.Network.dll-Help.xml","Microsoft.Azure.Commands.Network.NewAzureExpressRouteCircuitAuthorizationCommand","1","6050","Help missing for cmdlet New-AzureRmExpressRouteCircuitAuthorization implemented by class Microsoft.Azure.Commands.Network.NewAzureExpressRouteCircuitAuthorizationCommand","Add Help record for cmdlet New-AzureRmExpressRouteCircuitAuthorization to help file."
"Microsoft.Azure.Commands.Network.dll","Microsoft.Azure.Commands.Network.dll-Help.xml","Microsoft.Azure.Commands.Network.RemoveAzureExpressRouteCircuitAuthorizationCommand","1","6050","Help missing for cmdlet Remove-AzureRmExpressRouteCircuitAuthorization implemented by class Microsoft.Azure.Commands.Network.RemoveAzureExpressRouteCircuitAuthorizationCommand","Add Help record for cmdlet Remove-AzureRmExpressRouteCircuitAuthorization to help file."
"Microsoft.Azure.Commands.Network.dll","Microsoft.Azure.Commands.Network.dll-Help.xml","Microsoft.Azure.Commands.Network.GetAzureVpnClientRootCertificates","1","6050","Help missing for cmdlet Get-AzureRmVpnClientRootCertificate implemented by class Microsoft.Azure.Commands.Network.GetAzureVpnClientRootCertificates","Add Help record for cmdlet Get-AzureRmVpnClientRootCertificate to help file."
"Microsoft.Azure.Commands.Network.dll","Microsoft.Azure.Commands.Network.dll-Help.xml","Microsoft.Azure.Commands.Network.GetAzureVpnClientRevokedCertificates","1","6050","Help missing for cmdlet Get-AzureRmVpnClientRevokedCertificate implemented by class Microsoft.Azure.Commands.Network.GetAzureVpnClientRevokedCertificates","Add Help record for cmdlet Get-AzureRmVpnClientRevokedCertificate to help file."
"Microsoft.Azure.Commands.Network.dll","Microsoft.Azure.Commands.Network.dll-Help.xml","Microsoft.Azure.Commands.Network.AddAzureVpnClientRootCertificateCommand","1","6050","Help missing for cmdlet Add-AzureRmVpnClientRootCertificate implemented by class Microsoft.Azure.Commands.Network.AddAzureVpnClientRootCertificateCommand","Add Help record for cmdlet Add-AzureRmVpnClientRootCertificate to help file."
"Microsoft.Azure.Commands.Network.dll","Microsoft.Azure.Commands.Network.dll-Help.xml","Microsoft.Azure.Commands.Network.AddAzureVpnClientRevokedCertificateCommand","1","6050","Help missing for cmdlet Add-AzureRmVpnClientRevokedCertificate implemented by class Microsoft.Azure.Commands.Network.AddAzureVpnClientRevokedCertificateCommand","Add Help record for cmdlet Add-AzureRmVpnClientRevokedCertificate to help file."
"Microsoft.Azure.Commands.Network.dll","Microsoft.Azure.Commands.Network.dll-Help.xml","Microsoft.Azure.Commands.Network.NewAzureVpnClientRootCertificateCommand","1","6050","Help missing for cmdlet New-AzureRmVpnClientRootCertificate implemented by class Microsoft.Azure.Commands.Network.NewAzureVpnClientRootCertificateCommand","Add Help record for cmdlet New-AzureRmVpnClientRootCertificate to help file."
"Microsoft.Azure.Commands.Network.dll","Microsoft.Azure.Commands.Network.dll-Help.xml","Microsoft.Azure.Commands.Network.NewAzureVpnClientRevokedCertificateCommand","1","6050","Help missing for cmdlet New-AzureRmVpnClientRevokedCertificate implemented by class Microsoft.Azure.Commands.Network.NewAzureVpnClientRevokedCertificateCommand","Add Help record for cmdlet New-AzureRmVpnClientRevokedCertificate to help file."
"Microsoft.Azure.Commands.Network.dll","Microsoft.Azure.Commands.Network.dll-Help.xml","Microsoft.Azure.Commands.Network.ResizeAzureVirtualNetworkGatewayCommand","1","6050","Help missing for cmdlet Resize-AzureRmVirtualNetworkGateway implemented by class Microsoft.Azure.Commands.Network.ResizeAzureVirtualNetworkGatewayCommand","Add Help record for cmdlet Resize-AzureRmVirtualNetworkGateway to help file."
"Microsoft.Azure.Commands.Network.dll","Microsoft.Azure.Commands.Network.dll-Help.xml","Microsoft.Azure.Commands.Network.RemoveAzureVpnClientRevokedCertificateCommand","1","6050","Help missing for cmdlet Remove-AzureRmVpnClientRevokedCertificate implemented by class Microsoft.Azure.Commands.Network.RemoveAzureVpnClientRevokedCertificateCommand","Add Help record for cmdlet Remove-AzureRmVpnClientRevokedCertificate to help file."
"Microsoft.Azure.Commands.Network.dll","Microsoft.Azure.Commands.Network.dll-Help.xml","Microsoft.Azure.Commands.Network.RemoveAzureVpnClientRootCertificateCommand","1","6050","Help missing for cmdlet Remove-AzureRmVpnClientRootCertificate implemented by class Microsoft.Azure.Commands.Network.RemoveAzureVpnClientRootCertificateCommand","Add Help record for cmdlet Remove-AzureRmVpnClientRootCertificate to help file."
"Microsoft.Azure.Commands.Network.dll","Microsoft.Azure.Commands.Network.dll-Help.xml","Microsoft.Azure.Commands.Network.SetAzureVirtualNetworkGatewayVpnClientConfigCommand","1","6050","Help missing for cmdlet Set-AzureRmVirtualNetworkGatewayVpnClientConfig implemented by class Microsoft.Azure.Commands.Network.SetAzureVirtualNetworkGatewayVpnClientConfigCommand","Add Help record for cmdlet Set-AzureRmVirtualNetworkGatewayVpnClientConfig to help file."
"Microsoft.Azure.Commands.Network.dll","Microsoft.Azure.Commands.Network.dll-Help.xml","Microsoft.Azure.Commands.Network.GetAzureVpnClientPackage","1","6050","Help missing for cmdlet Get-AzureRmVpnClientPackage implemented by class Microsoft.Azure.Commands.Network.GetAzureVpnClientPackage","Add Help record for cmdlet Get-AzureRmVpnClientPackage to help file."
"Microsoft.Azure.Commands.Network.dll","Microsoft.Azure.Commands.Network.dll-Help.xml","Microsoft.Azure.Commands.Network.SetAzureVirtualNetworkGatewayDefaultSiteCommand","1","6050","Help missing for cmdlet Set-AzureRmVirtualNetworkGatewayDefaultSite implemented by class Microsoft.Azure.Commands.Network.SetAzureVirtualNetworkGatewayDefaultSiteCommand","Add Help record for cmdlet Set-AzureRmVirtualNetworkGatewayDefaultSite to help file."
"Microsoft.Azure.Commands.Network.dll","Microsoft.Azure.Commands.Network.dll-Help.xml","Microsoft.Azure.Commands.Network.RemoveAzureVirtualNetworkGatewayDefaultSiteCommand","1","6050","Help missing for cmdlet Remove-AzureRmVirtualNetworkGatewayDefaultSite implemented by class Microsoft.Azure.Commands.Network.RemoveAzureVirtualNetworkGatewayDefaultSiteCommand","Add Help record for cmdlet Remove-AzureRmVirtualNetworkGatewayDefaultSite to help file."
"Microsoft.Azure.Commands.Resources.dll","Microsoft.Azure.Commands.Resources.dll-Help.xml","Microsoft.Azure.Commands.ActiveDirectory.GetAzureADApplicationCommand","1","6050","Help missing for cmdlet Get-AzureRmADApplication implemented by class Microsoft.Azure.Commands.ActiveDirectory.GetAzureADApplicationCommand","Add Help record for cmdlet Get-AzureRmADApplication to help file."
"Microsoft.Azure.Commands.DataLakeStore.dll","Microsoft.Azure.Commands.DataLakeStore.dll-help.xml","Microsoft.Azure.Commands.DataLakeStore.AddAzureDataLakeStoreItemContent","1","6050","Help missing for cmdlet Add-AzureRmDataLakeStoreItemContent implemented by class Microsoft.Azure.Commands.DataLakeStore.AddAzureDataLakeStoreItemContent","Add Help record for cmdlet Add-AzureRmDataLakeStoreItemContent to help file."
"Microsoft.Azure.Commands.OperationalInsights.dll","Microsoft.Azure.Commands.OperationalInsights.dll-Help.xml","Microsoft.Azure.Commands.OperationalInsights.GetAzureOperationalInsightsSavedSearchCommand","1","6050","Help missing for cmdlet Get-AzureRmOperationalInsightsSavedSearch implemented by class Microsoft.Azure.Commands.OperationalInsights.GetAzureOperationalInsightsSavedSearchCommand","Add Help record for cmdlet Get-AzureRmOperationalInsightsSavedSearch to help file."
"Microsoft.Azure.Commands.OperationalInsights.dll","Microsoft.Azure.Commands.OperationalInsights.dll-Help.xml","Microsoft.Azure.Commands.OperationalInsights.GetAzureOperationalInsightsSavedSearchResultsCommand","1","6050","Help missing for cmdlet Get-AzureRmOperationalInsightsSavedSearchResults implemented by class Microsoft.Azure.Commands.OperationalInsights.GetAzureOperationalInsightsSavedSearchResultsCommand","Add Help record for cmdlet Get-AzureRmOperationalInsightsSavedSearchResults to help file."
"Microsoft.Azure.Commands.OperationalInsights.dll","Microsoft.Azure.Commands.OperationalInsights.dll-Help.xml","Microsoft.Azure.Commands.OperationalInsights.GetAzureOperationalInsightsSchemaCommand","1","6050","Help missing for cmdlet Get-AzureRmOperationalInsightsSchema implemented by class Microsoft.Azure.Commands.OperationalInsights.GetAzureOperationalInsightsSchemaCommand","Add Help record for cmdlet Get-AzureRmOperationalInsightsSchema to help file."
"Microsoft.Azure.Commands.OperationalInsights.dll","Microsoft.Azure.Commands.OperationalInsights.dll-Help.xml","Microsoft.Azure.Commands.OperationalInsights.GetAzureOperationalInsightsSearchResultsCommand","1","6050","Help missing for cmdlet Get-AzureRmOperationalInsightsSearchResults implemented by class Microsoft.Azure.Commands.OperationalInsights.GetAzureOperationalInsightsSearchResultsCommand","Add Help record for cmdlet Get-AzureRmOperationalInsightsSearchResults to help file."
"Microsoft.Azure.Commands.OperationalInsights.dll","Microsoft.Azure.Commands.OperationalInsights.dll-Help.xml","Microsoft.Azure.Commands.OperationalInsights.NewAzureOperationalInsightsSavedSearchCommand","1","6050","Help missing for cmdlet New-AzureRmOperationalInsightsSavedSearch implemented by class Microsoft.Azure.Commands.OperationalInsights.NewAzureOperationalInsightsSavedSearchCommand","Add Help record for cmdlet New-AzureRmOperationalInsightsSavedSearch to help file."
"Microsoft.Azure.Commands.OperationalInsights.dll","Microsoft.Azure.Commands.OperationalInsights.dll-Help.xml","Microsoft.Azure.Commands.OperationalInsights.SetAzureOperationalInsightsSavedSearchCommand","1","6050","Help missing for cmdlet Set-AzureRmOperationalInsightsSavedSearch implemented by class Microsoft.Azure.Commands.OperationalInsights.SetAzureOperationalInsightsSavedSearchCommand","Add Help record for cmdlet Set-AzureRmOperationalInsightsSavedSearch to help file."
"Microsoft.Azure.Commands.OperationalInsights.dll","Microsoft.Azure.Commands.OperationalInsights.dll-Help.xml","Microsoft.Azure.Commands.OperationalInsights.RemoveAzureOperationalInsightsSavedSearchCommand","1","6050","Help missing for cmdlet Remove-AzureRmOperationalInsightsSavedSearch implemented by class Microsoft.Azure.Commands.OperationalInsights.RemoveAzureOperationalInsightsSavedSearchCommand","Add Help record for cmdlet Remove-AzureRmOperationalInsightsSavedSearch to help file."
